placa;fecha;filtro_aceite;filtro_aire;filtro_diesel;engrase;este_cambio;proximo_cambio;observaciones
P728KDB;9/10/2025;NO;NO;NO;NO;NO;NO;C/BOMBA Y BOOSTER DE FRENO
P011HWS;9/10/2025;SI;NO;NO;NO;142,261;145,261;
P180JGZ;9/10/2025;NO;NO;NO;NO;NO;NO;CAMBIO DE ROTULA
P728KDB;9/10/2025;NO;NO;NO;NO;NO;NO;C/2 GUARDAPOLVO FLECHA, C/RETENEDOR FLECHA, C/AMORTIGUADOR DELANT IZQ
P820HYV;9/10/2025;NO;NO;NO;NO;NO;NO;DESMONT Y MONTAJE INYECTORES, PRUEBA DE SENSORES
P780GLQ;9/10/2025;NO;NO;NO;NO;NO;NO;MECANICA VARIA ORDEN NO. 13433
P754FQC;10/10/2025;SI;NO;NO;SI;186,624;188,624;REPARACION DEL PEDAL DE FRENO
P939KYG;10/10/2025;SI;NO;NO;NO;304,033;307,033;A/CATARINA, NIVELADO
P539DGT;10/10/2025;SI;SI;NO;SI;285,469;290,469;C/F CABINA
P655GMD;10/10/2025;NO;NO;NO;NO;NO;NO;C/EMPAQUE TAPADERA VALVULAS, LAV DE MOTOR
P697GKN;10/10/2025;SI;NO;NO;NO;158,801;161,801;
P843JTW;10/10/2025;SI;NO;NO;NO;157,783;160,783;LIQUIDO HIDRAULICO
P912JJD;10/10/2025;SI;NO;NO;NO;107,146;110,146;C/BUSHING DE MULETAS DELANT, C/EMPAQUE TAPA VALVULA
P832GYP;10/10/2025;SI;NO;NO;NO;71,709;76,709;FLUSHING, LAV MOTOR, RECTIF TAMBORES, FRENOS TRASEROS
P320GCH;11/10/2025;SI;NO;NO;NO;125,713;128,713;
P400LBT;11/10/2025;SI;NO;NO;NO;142,786;145,786;
P307GTP;11/10/2025;SI;NO;NO;NO;110,331;113,331;C/F CABINA
P579FKY;11/10/2025;SI;SI;NO;NO;185,018;190,018;C/F CABINA
P110LBT;11/10/2025;SI;NO;NO;NO;145,316;148,316;AJUSTE FAJA DE ACCESORIOS
P145FZT;11/10/2025;SI;SI;NO;SI;110,335;115,335;C/F CABINA
P580LBK;11/10/2025;SI;NO;NO;NO;204,414;207,414;
P838KYG;11/10/2025;SI;SI;NO;NO;72,453;75,453;C/A CAJA AUTOMATICA PROX 82,453
P333LKC;11/10/2025;SI;NO;NO;SI;1,623;6,623;
P985GJQ;11/10/2025;NO;NO;NO;NO;NO;NO;MECANICA VARIA ORDEN NO. 13459
P358KCY;13/10/2025;NO;NO;NO;NO;NO;NO;C/MANGUERA RUEDA IZQUIERDA TRASERA
P453KGY;13/10/2025;SI;SI;NO;SI;34,924;39,924;C/F CABINA
P344KWQ;13/10/2025;SI;SI;NO;NO;101,184;104,184;
P070JJF;13/10/2025;SI;NO;NO;NO;88,082;91,082;
P843JTW;13/10/2025;NO;NO;NO;NO;NO;NO;C/MANGUERAS HIDRAULICAS
P483GRW;14/10/2025;SI;NO;NO;NO;159,204;161,204;
P810KRH;14/10/2025;NO;NO;NO;NO;NO;NO;CAMBIO DE BUFA TRASERA IZQUIERDA
P268JLM;14/10/2025;SI;SI;SI;SI;77,405;82,405;
P791JGX;14/10/2025;NO;NO;NO;NO;NO;NO;INSTALACION DE BUSHING
P509LFV;15/10/2025;SI;SI;NO;NO;142,089;145,089;C/F CABINA, LAVADO DE MOTOR
P843JTW;15/10/2025;NO;NO;NO;NO;NO;NO;RECTIF DISCOS DELANTEROS, FRENOS DELANTEROS, C/GUARDAPOLVO FLECHA
P932HZW;15/10/2025;SI;NO;NO;NO;162,531;197,531;
P185HVY;15/10/2025;NO;NO;NO;NO;NO;NO;C/PUNTAS FLECHA
P335FTY;15/10/2025;SI;SI;NO;NO;133,186;135,186;
P534KPB;15/10/2025;SI;NO;NO;SI;27,970;32,970;RECTIF DISCOS DELANT Y TASEROS, FRENOS DELANT Y TRASEROS
P090DRC;15/10/2025;SI;NO;NO;NO;199,236;201,236;C/A CAJA PROX/C 209,236
P011HWS;15/10/2025;NO;NO;NO;NO;NO;NO;C/RETENEDOR FLECHA DERECHA
P810HPC;15/10/2025;NO;NO;NO;NO;NO;NO;MECANICA VARIA ORDEN NO. 13448
P359LDR;16/10/2025;SI;NO;NO;NO;5,363;10,363;
P335JVV;16/10/2025;SI;SI;NO;NO;124,469;129,469;
P710FLS;16/10/2025;SI;NO;NO;NO;114,321;117,321;REPARACION DE MOTOR, C/CARGADOR
